"","TITRE","sortie","Y"
"378","IZNOGOUD",2005-02-09,2535444
"379","J'ACCUSE",2019-11-13,1469246
"380","J. EDGAR",2012-01-11,1448178
"381","JACKPOT",2008-05-07,1049173
"382","JAPPELOUP",2013-03-13,1819770
"383","JASON BOURNE",2016-08-10,1487907
"384","JE SUIS UNE LEGENDE",2007-12-19,2911291
"385","JE VOUS TROUVE TRES BEAU (EX: LA FILLE DE L'EST)",2006-01-11,3508260
"386","JEAN-PHILIPPE",2006-04-05,1218449
"387","JEU (LE)",2018-10-17,1588663
"388","JEUX D'ENFANTS",2003-09-17,1071854
"389","JOKER",2019-10-09,5572500
"390","JOUR D'APRES (LE)",2004-05-26,2677836
"391","JOUR OU LA TERRE S'ARRETA (LE)",2008-12-10,1000867
"392","JOYEUSE RETRAITE !",2019-11-20,1202254
"393","JOYEUX NOEL",2005-11-09,1859192
"394","JUMANJI : NEXT LEVEL",2019-12-04,2415878
"395","JUMANJI BIENVENUE DANS LA JUNGLE",2017-12-20,3387239
"396","JUMPER",2008-02-20,1152898
"397","JURASSIC WORLD",2015-06-10,5214046
"398","JURASSIC WORLD FALLEN KINGDOM",2018-06-06,3633701
"399","JUSTE LA FIN DU MONDE",2016-09-21,1033960
"400","JUSTICE LEAGUE",2017-11-15,1712931
"401","KAAMELOTT VOLET 1",2021-07-21,2656445
"402","KAIRA (LES)",2012-07-11,1020647
"403","KILL BILL VOL. 1",2003-11-26,1550094
"404","KILL BILL VOLUME 2",2004-05-17,1465895
"405","KING KONG",2005-12-14,2774766
"406","KINGDOM OF HEAVEN",2005-05-04,1278878
"407","KINGSMAN : SERVICES SECRETS",2015-02-18,1666999
"408","KINGSMAN LE CERCLE D'OR",2017-10-11,1735767
"409","KIRIKOU ET LES BETES SAUVAGES",2005-12-07,1371404
"410","KONG SKULL ISLAND",2017-03-08,1617325
"411","KUNG FU PANDA",2008-07-09,3274344
"412","KUNG FU PANDA 2",2011-06-15,2698008
"413","KUNG FU PANDA 3",2016-03-30,2575717
"414","L'APPEL DE LA FORET",2020-02-19,1271304
"415","L ASCENSION",2017-01-25,1124522
"416","LA-HAUT",2009-07-29,4406371
"417","LA BELLE ET LA BETE",2017-03-22,3489947
"418","LA BELLE ET LA BÊTE",2014-02-12,1827555
"419","LA FAMILLE ADDAMS",2019-12-04,1005235
"420","LA FAMILLE BÉLIER",2014-12-17,2348021
"421","LA FORME DE L'EAU",2018-02-21,1382572
"422","LA FRENCH",2014-12-03,1334968
"423","LA GRANDE AVENTURE LEGO",2014-02-19,1537495
"424","LA LA LAND",2017-01-25,2748279
"425","LA MOMIE",2017-06-14,1382338
"426","LA MULE",2019-01-23,1859371
"427","LA NONNE",2018-09-19,1385206
"428","LA PLANETE DES SINGES : L'AFFRONTEMENT",2014-07-30,3780627
"429","LA PLANETE DES SINGES SUPREMATIE",2017-08-02,2810037
"430","LA REINE DES NEIGES",2013-12-04,1255172
"431","LA REINE DES NEIGES II",2019-11-20,6737842
"432","LA VIE SCOLAIRE",2019-08-28,1816713
"433","LABYRINTHE : LA TERRE BRULEE (LE)",2015-10-07,3122000
"434","LADYKILLERS",2004-06-09,1246739
"435","LARA CROFT TOMB RAIDER, LE BERCEAU DE LA VIE",2003-08-20,1217867
"436","LARGO WINCH",2008-12-17,1117630
"437","LARGO WINCH 2",2011-02-16,1342836
"438","LE BRIO",2017-11-22,1046454
"439","LE CROCODILE DU BOTSWANGA",2014-02-19,1187344
"440","LE GRINCH",2018-11-28,2051025
"441","LE HOBBIT : LA BATAILLE DES CINQ ARMÉES",2014-12-10,4072690
"442","LE LABYRINTHE",2014-10-15,3129710
"443","LE LABYRINTHE: LE REMEDE MORTEL",2018-02-07,2851683
"444","LE LOUP DE WALL STREET",2013-12-25,2003929
"445","LE MANS 66",2019-11-13,1098434
"446","LE PARC DES MERVEILLES",2019-04-03,1419362
"447","LE ROI LION",2019-07-17,9833863
"448","LE VOYAGE DU DR DOLITTLE",2020-02-05,1322643
"449","LEGENDE DE ZORRO (LA)",2005-10-26,2145922
"450","LES BLAGUES DE TOTO",2020-08-05,1064776
"451","LES CROODS 2 UNE NOUVELLE ERE",2021-07-07,1132485
"452","LES ETERNELS",2021-11-03,1712234
"453","LES GARDIENS DE LA GALAXIE",2014-08-13,2337377
"454","LES GARDIENS DE LA GALAXIE VOL 2",2017-04-26,3143567
"455","LES INDESTRUCTIBLES 2",2018-07-04,5737042
"456","LES MISERABLES",2019-11-20,1700574
"457","LES PINGOUINS DE MADAGASCAR",2014-12-17,1594502
"458","LES SCHTROUMPFS ET LE VILLAGE PERDU",2017-04-05,1837383
"459","LES TROIS FRÈRES, LE RETOUR",2014-02-12,2243586
"460","LES TROLLS 2 TOURNEE MONDIALE",2020-10-14,1013227
"461","LES TUCHE 3",2018-01-31,5685341
"462","LES VACANCES DU PETIT NICOLAS",2014-07-09,2411218
"463","LIGUE DES GENTLEMEN EXTRAORDINAIRES (LA)",2003-10-01,1022117
"464","LINCOLN",2013-01-30,1360610
"465","LION",2017-02-22,1792318
"466","LIVRE DE LA JUNGLE (LE)",2016-04-13,3646088
"467","LIVRE DE LA JUNGLE 2 (LE)",2003-02-05,3307629
"468","LOGAN",2017-03-01,2274243
"469","LOL (LAUGHING OUT LOUD)",2009-02-04,3654452
"470","LONE RANGER, NAISSANCE D'UN HEROS",2013-08-07,1149279
"471","LORD OF WAR",2006-01-04,1314258
"472","LOST IN TRANSLATION",2004-01-07,1336082
